"","UNITID","EFFYLEV","LSTUDY","XEYTOTLT","EFYTOTLT","XEYTOTLM","EFYTOTLM","XEYTOTLW","EFYTOTLW","XEFYAIAT","EFYAIANT","XEFYAIAM","EFYAIANM","XEFYAIAW","EFYAIANW","XEFYASIT","EFYASIAT","XEFYASIM","EFYASIAM","XEFYASIW","EFYASIAW","XEFYBKAT","EFYBKAAT","XEFYBKAM","EFYBKAAM","XEFYBKAW","EFYBKAAW","XEFYHIST","EFYHISPT","XEFYHISM","EFYHISPM","XEFYHISW","EFYHISPW","XEFYNHPT","EFYNHPIT","XEFYNHPM","EFYNHPIM","XEFYNHPW","EFYNHPIW","XEFYWHIT","EFYWHITT","XEFYWHIM","EFYWHITM","XEFYWHIW","EFYWHITW","XEFY2MOT","EFY2MORT","XEFY2MOM","EFY2MORM","XEFY2MOW","EFY2MORW","XEYUNKNT","EFYUNKNT","XEYUNKNM","EFYUNKNM","XEYUNKNW","EFYUNKNW","XEYNRALT","EFYNRALT","XEYNRALM","EFYNRALM","XEYNRALW","EFYNRALW"
"1",100654,1,999,"R",5591,"R",2503,"R",3088,"R",12,"R",3,"R",9,"R",36,"R",24,"R",12,"R",5107,"R",2322,"R",2785,"R",51,"R",13,"R",38,"R",7,"R",4,"R",3,"R",310,"R",115,"R",195,"R",0,"R",0,"R",0,"R",54,"R",17,"R",37,"R",14,"R",5,"R",9
"2",100654,2,1,"R",4407,"R",2152,"R",2255,"R",9,"R",2,"R",7,"R",12,"R",6,"R",6,"R",4171,"R",2036,"R",2135,"R",36,"R",10,"R",26,"R",4,"R",3,"R",1,"R",130,"R",77,"R",53,"R",0,"R",0,"R",0,"R",42,"R",17,"R",25,"R",3,"R",1,"R",2
"3",100654,4,3,"R",1184,"R",351,"R",833,"R",3,"R",1,"R",2,"R",24,"R",18,"R",6,"R",936,"R",286,"R",650,"R",15,"R",3,"R",12,"R",3,"R",1,"R",2,"R",180,"R",38,"R",142,"R",0,"R",0,"R",0,"R",12,"R",0,"R",12,"R",11,"R",4,"R",7
"4",100663,1,999,"R",21329,"R",8384,"R",12945,"R",50,"R",21,"R",29,"R",988,"R",436,"R",552,"R",4639,"R",1393,"R",3246,"R",562,"R",213,"R",349,"R",18,"R",7,"R",11,"R",13553,"R",5548,"R",8005,"R",594,"R",222,"R",372,"R",260,"R",142,"R",118,"R",665,"R",402,"R",263
"5",100663,2,1,"R",13107,"R",5462,"R",7645,"R",31,"R",13,"R",18,"R",644,"R",298,"R",346,"R",3458,"R",1111,"R",2347,"R",342,"R",134,"R",208,"R",11,"R",4,"R",7,"R",7789,"R",3515,"R",4274,"R",437,"R",162,"R",275,"R",168,"R",91,"R",77,"R",227,"R",134,"R",93
"6",100663,4,3,"R",8222,"R",2922,"R",5300,"R",19,"R",8,"R",11,"R",344,"R",138,"R",206,"R",1181,"R",282,"R",899,"R",220,"R",79,"R",141,"R",7,"R",3,"R",4,"R",5764,"R",2033,"R",3731,"R",157,"R",60,"R",97,"R",92,"R",51,"R",41,"R",438,"R",268,"R",170
"7",100690,1,999,"R",985,"R",420,"R",565,"R",1,"Z",0,"R",1,"R",4,"R",4,"Z",0,"R",423,"R",125,"R",298,"R",11,"R",7,"R",4,"Z",0,"Z",0,"Z",0,"R",290,"R",170,"R",120,"Z",0,"Z",0,"Z",0,"R",256,"R",114,"R",142,"Z",0,"Z",0,"Z",0
"8",100690,2,1,"R",503,"R",200,"R",303,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"R",243,"R",68,"R",175,"R",6,"R",3,"R",3,"Z",0,"Z",0,"Z",0,"R",134,"R",73,"R",61,"Z",0,"Z",0,"Z",0,"R",118,"R",54,"R",64,"Z",0,"Z",0,"Z",0
"9",100690,4,3,"R",482,"R",220,"R",262,"R",1,"Z",0,"R",1,"R",2,"R",2,"Z",0,"R",180,"R",57,"R",123,"R",5,"R",4,"R",1,"Z",0,"Z",0,"Z",0,"R",156,"R",97,"R",59,"Z",0,"Z",0,"Z",0,"R",138,"R",60,"R",78,"Z",0,"Z",0,"Z",0
"10",100706,1,999,"R",8621,"R",4854,"R",3767,"R",113,"R",59,"R",54,"R",339,"R",172,"R",167,"R",1015,"R",422,"R",593,"R",266,"R",135,"R",131,"R",1,"R",1,"Z",0,"R",5938,"R",3482,"R",2456,"R",125,"R",73,"R",52,"R",321,"R",177,"R",144,"R",503,"R",333,"R",170
"11",100706,2,1,"R",6596,"R",3684,"R",2912,"R",92,"R",50,"R",42,"R",267,"R",129,"R",138,"R",856,"R",351,"R",505,"R",226,"R",112,"R",114,"R",1,"R",1,"Z",0,"R",4552,"R",2687,"R",1865,"R",109,"R",64,"R",45,"R",259,"R",137,"R",122,"R",234,"R",153,"R",81
"12",100706,4,3,"R",2025,"R",1170,"R",855,"R",21,"R",9,"R",12,"R",72,"R",43,"R",29,"R",159,"R",71,"R",88,"R",40,"R",23,"R",17,"Z",0,"Z",0,"Z",0,"R",1386,"R",795,"R",591,"R",16,"R",9,"R",7,"R",62,"R",40,"R",22,"R",269,"R",180,"R",89
